Competitor,Code,Mark,Wind,Year,Venue,Date,Rank,Age,Nat,Record Age,Avg Speed kph,Progress Age
Usain BOLT,14201847,9.95,0.7,2017,"Stade Louis II, Monaco (MON)",2017-07-21,1,33.0,JAM,23.0,36.18090452261307,31.0
Usain BOLT,14201847,9.81,0.2,2016,"Estádio Olímpico, Rio de Janeiro (BRA)",2016-08-14,1,33.0,JAM,23.0,36.69724770642202,30.0
Usain BOLT,14201847,9.79,-0.5,2015,"National Stadium, Beijing (CHN)",2015-08-23,1,33.0,JAM,23.0,36.77221654749745,29.0
Usain BOLT,14201847,9.98,-0.6,2014,Warszawa (POL),2014-08-23,1,33.0,JAM,23.0,36.07214428857716,28.0
Usain BOLT,14201847,9.77,-0.3,2013,"Luzhniki, Moskva (RUS)",2013-08-11,1,33.0,JAM,23.0,36.8474923234391,27.0
Usain BOLT,14201847,9.63,1.5,2012,"Olympic Stadium, London (GBR)",2012-08-05,1,33.0,JAM,23.0,37.38317757009345,26.0
Usain BOLT,14201847,9.76,1.3,2011,"Boudewijnstadion, Bruxelles (BEL)",2011-09-16,1,33.0,JAM,23.0,36.885245901639344,25.0
Usain BOLT,14201847,9.82,0.5,2010,"Pontaise, Lausanne (SUI)",2010-07-08,1,33.0,JAM,23.0,36.65987780040733,23.0
Usain BOLT,14201847,9.58,0.9,2009,"Olympiastadion, Berlin (GER)",2009-08-16,1,33.0,JAM,23.0,37.578288100208766,23.0
Usain BOLT,14201847,9.69,0.0,2008,"National Stadium, Beijing (CHN)",2008-08-16,1,33.0,JAM,23.0,37.15170278637771,22.0
Usain BOLT,14201847,10.03,0.7,2007,Rethymno (GRE),2007-07-18,1,33.0,JAM,23.0,35.89232303090728,21.0
Tyson GAY,14238588,10.36,0.7,2019,"Clermont, FL (USA)",2019-05-05,2,37.0,USA,27.0,34.749034749034756,36.0
Tyson GAY,14238588,10.11,1.9,2018,"Clermont, FL (USA)",2018-05-12,2,37.0,USA,27.0,35.60830860534125,35.0
Tyson GAY,14238588,10.17,0.2,2017,"Sacramento, CA (USA)",2017-06-22,2,37.0,USA,27.0,35.39823008849557,34.0
Tyson GAY,14238588,9.97,2.0,2016,"Montverde, FL (USA)",2016-06-11,2,37.0,USA,27.0,36.10832497492478,33.0
Tyson GAY,14238588,9.87,0.0,2015,"Hayward Field, Eugene, OR (USA)",2015-06-26,2,37.0,USA,27.0,36.474164133738604,32.0
Tyson GAY,14238588,9.93,0.1,2014,"Pontaise, Lausanne (SUI)",2014-07-03,2,37.0,USA,27.0,36.25377643504532,31.0
Tyson GAY,14238588,9.86,1.8,2012,"Hayward Field, Eugene, OR (USA)",2012-06-24,2,37.0,USA,27.0,36.51115618661258,29.0
Tyson GAY,14238588,9.79,1.1,2011,"Clermont, FL (USA)",2011-06-04,2,37.0,USA,27.0,36.77221654749745,28.0
Tyson GAY,14238588,9.78,-0.4,2010,"Crystal Palace, London (GBR)",2010-08-13,2,37.0,USA,27.0,36.809815950920246,28.0
Tyson GAY,14238588,9.69,2.0,2009,Shanghai (CHN),2009-09-20,2,37.0,USA,27.0,37.15170278637771,27.0
Tyson GAY,14238588,9.77,1.6,2008,"Eugene, OR (USA)",2008-06-28,2,37.0,USA,27.0,36.8474923234391,25.0
Tyson GAY,14238588,9.84,-0.5,2007,"Indianapolis, IN (USA)",2007-06-22,2,37.0,USA,27.0,36.58536585365854,24.0
Tyson GAY,14238588,9.84,1.0,2006,Zürich (SUI),2006-08-18,2,37.0,USA,27.0,36.58536585365854,24.0
Tyson GAY,14238588,10.08,0.5,2005,Rieti (ITA),2005-08-28,2,37.0,USA,27.0,35.714285714285715,23.0
Tyson GAY,14238588,10.06,1.7,2004,"Austin, TX (USA)",2004-06-11,2,37.0,USA,27.0,35.785288270377734,21.0
Tyson GAY,14238588,10.17,0.0,2003,"Levelland, TX (USA)",2003-05-09,2,37.0,USA,27.0,35.39823008849557,20.0
Tyson GAY,14238588,10.27,0.7,2002,"Palo Alto, CA (USA)",2002-06-21,2,37.0,USA,27.0,35.05355404089581,19.0
Tyson GAY,14238588,10.28,0.0,2001,"Lafayette, LA (USA)",2001-05-09,2,37.0,USA,27.0,35.01945525291829,18.0
Tyson GAY,14238588,10.56,0.3,2000,"Amherst, MA (USA)",2000-07-28,2,37.0,USA,27.0,34.090909090909086,18.0
Yohan BLAKE,14201842,9.96,0.4,2019,Kingston (JAM),2019-06-21,2,30.0,JAM,23.0,36.14457831325301,29.0
Yohan BLAKE,14201842,9.94,-0.3,2018,"Boudewijnstadion, Bruxelles (BEL)",2018-08-31,2,30.0,JAM,23.0,36.21730382293763,29.0
Yohan BLAKE,14201842,9.9,0.9,2017,Kingston (JAM),2017-06-23,2,30.0,JAM,23.0,36.36363636363636,27.0
Yohan BLAKE,14201842,9.93,0.2,2016,"Estádio Olímpico, Rio de Janeiro (BRA)",2016-08-14,2,30.0,JAM,23.0,36.25377643504532,27.0
Yohan BLAKE,14201842,10.12,1.4,2015,Dublin (IRL),2015-07-24,2,30.0,JAM,23.0,35.57312252964427,26.0
Yohan BLAKE,14201842,10.02,0.6,2014,Kingston (JAM),2014-06-07,2,30.0,JAM,23.0,35.92814371257485,24.0
Yohan BLAKE,14201842,9.69,-0.1,2012,"Pontaise, Lausanne (SUI)",2012-08-23,2,30.0,JAM,23.0,37.15170278637771,23.0
