Rank,Mark,Wind,Competitor,Age,Nat,Pos,Venue,Date,ResultScore,href,Avg Speed kph,Record Age
1,9.58,0.9,Usain BOLT,33.0,JAM,1,"Olympiastadion, Berlin (GER)",2009-08-16,1356,/athletes/athlete=184599,37.578288100208766,23.0
2,9.69,2.0,Tyson GAY,37.0,USA,1,Shanghai (CHN),2009-09-20,1316,/athletes/athlete=185464,37.15170278637771,27.0
2,9.69,-0.1,Yohan BLAKE,30.0,JAM,1,"Pontaise, Lausanne (SUI)",2012-08-23,1316,/athletes/athlete=208640,37.15170278637771,23.0
4,9.72,0.2,Asafa POWELL,37.0,JAM,1f1,"Pontaise, Lausanne (SUI)",2008-09-02,1305,/athletes/athlete=189571,37.03703703703703,26.0
5,9.74,0.9,Justin GATLIN,38.0,USA,1,"Hamad Bin Suhaim, Doha (QAT)",2015-05-15,1298,/athletes/athlete=176453,36.96098562628337,33.0
6,9.76,0.6,Christian COLEMAN,24.0,USA,1f,"Khalifa International Stadium, Doha (QAT)",2019-09-28,1291,/athletes/athlete=291462,36.885245901639344,24.0
7,9.78,0.9,Nesta CARTER,34.0,JAM,1,"Guidobaldi, Rieti (ITA)",2010-08-29,1283,/athletes/athlete=200802,36.809815950920246,25.0
8,9.79,0.1,Maurice GREENE,45.0,USA,1f3,Athina (GRE),1999-06-16,1280,/athletes/athlete=15044,36.77221654749745,24.0
9,9.8,1.3,Steve MULLINGS,37.0,JAM,1,"Hayward Field, Eugene, OR (USA)",2011-06-04,1276,/athletes/athlete=177490,36.734693877551024,28.0
10,9.82,1.7,Richard THOMPSON,35.0,TTO,1f2,Port-of-Spain (TTO),2014-06-21,1269,/athletes/athlete=206487,36.65987780040733,29.0
11,9.84,0.7,Donovan BAILEY,52.0,CAN,1,"Olympic Stadium, Atlanta, GA (USA)",1996-07-27,1262,/athletes/athlete=9340,36.58536585365854,29.0
11,9.84,0.2,Bruny SURIN,52.0,CAN,2,"La Cartuja, Sevilla (ESP)",1999-08-22,1262,/athletes/athlete=2797,36.58536585365854,32.0
11,9.84,1.3,Trayvon BROMELL,25.0,USA,1h4,"Hayward Field, Eugene, OR (USA)",2015-06-25,1262,/athletes/athlete=273179,36.58536585365854,20.0
14,9.85,1.2,Leroy BURRELL,53.0,USA,1f3,"Pontaise, Lausanne (SUI)",1994-07-06,1259,/athletes/athlete=392,36.54822335025381,27.0
14,9.85,1.7,Olusoji Adetokunbo FASUBA,36.0,NGR,1,Doha (QAT),2006-05-12,1259,/athletes/athlete=198597,36.54822335025381,22.0
14,9.85,1.3,Michael RODGERS,35.0,USA,2,"Hayward Field, Eugene, OR (USA)",2011-06-04,1259,/athletes/athlete=200897,36.54822335025381,26.0
17,9.86,1.2,Carl LEWIS,59.0,USA,1,"Olympic Stadium, Tokyo (JPN)",1991-08-25,1255,/athletes/athlete=1622,36.51115618661258,31.0
17,9.86,-0.4,Frank FREDERICKS,52.0,NAM,1f1,Lausanne (SUI),1996-07-03,1257,/athletes/athlete=3720,36.51115618661258,28.0
17,9.86,1.8,Ato BOLDON,46.0,TTO,1,"Walnut, CA (USA)",1998-04-19,1255,/athletes/athlete=9066,36.51115618661258,24.0
17,9.86,0.6,Francis OBIKWELU,41.0,POR,2,"Olympic Stadium, Athina (GRE)",2004-08-22,1255,/athletes/athlete=50109,36.51115618661258,26.0
17,9.86,1.4,Keston BLEDMAN,32.0,TTO,1f2,Port-of-Spain (TTO),2012-06-23,1255,/athletes/athlete=208570,36.51115618661258,24.0
17,9.86,1.3,Jimmy VICAUT,28.0,FRA,2,Paris (FRA),2015-07-04,1255,/athletes/athlete=248925,36.51115618661258,23.0
17,9.86,0.9,Noah LYLES,22.0,USA,1,"SS, Shanghai (CHN)",2019-05-18,1255,/athletes/athlete=284369,36.51115618661258,21.0
17,9.86,0.8,Divine ODUDURU,23.0,NGR,1,"Austin, TX (USA)",2019-06-07,1255,/athletes/athlete=280594,36.51115618661258,22.0
25,9.87,0.3,Linford CHRISTIE,60.0,GBR,1,"Gottlieb-Daimler Stadion, Stuttgart (GER)",1993-08-15,1252,/athletes/athlete=496,36.474164133738604,34.0
25,9.87,-0.2,Obadele THOMPSON,44.0,BAR,1,"SGJ, Johannesburg (RSA)",1998-09-11,1253,/athletes/athlete=9873,36.474164133738604,23.0
25,9.87,-0.1,Ronnie BAKER,26.0,USA,1,Chorzów (POL),2018-08-22,1252,/athletes/athlete=279529,36.474164133738604,25.0
28,9.88,1.8,Shawn CRAWFORD,42.0,USA,1,"Eugene, OR (USA)",2004-06-19,1248,/athletes/athlete=136061,36.43724696356276,26.0
28,9.88,1.0,Walter DIX,34.0,USA,2f2,Luzern (SUI),2010-08-08,1248,/athletes/athlete=195974,36.43724696356276,25.0
28,9.88,0.9,Ryan BAILEY,31.0,USA,2,"Guidobaldi, Rieti (ITA)",2010-08-29,1248,/athletes/athlete=238611,36.43724696356276,22.0
28,9.88,1.0,Michael FRATER,37.0,JAM,2,"Pontaise, Lausanne (SUI)",2011-06-30,1248,/athletes/athlete=170936,36.43724696356276,28.0
32,9.89,1.6,Travis PADGETT,33.0,USA,1qf2,"Eugene, OR (USA)",2008-06-28,1245,/athletes/athlete=197120,36.40040444893832,21.0
32,9.89,1.6,Darvis PATTON,42.0,USA,1qf3,"Eugene, OR (USA)",2008-06-28,1245,/athletes/athlete=137055,36.40040444893832,30.0
