Rank,Mark,Wind,Competitor,Age,Nat,Pos,Venue,Date,ResultScore,href,Avg Speed kph,Record Age
1,9.97,1.8,Trayvon BROMELL,25.0,USA,1,"Eugene, OR (USA)",2014-06-13,1217,https://www.worldathletics.org/athletes/athlete=273179,36.10832497492478,19.0
2,10.0,1.6,Trentavis FRIDAY,25.0,USA,1h1,"Eugene, OR (USA)",2014-07-05,1206,https://www.worldathletics.org/athletes/athlete=279646,36.0,19.0
3,10.01,0.0,Darrel BROWN,35.0,TTO,1qf3,"Stade de France, Paris-St-Denis (FRA)",2003-08-24,1203,https://www.worldathletics.org/athletes/athlete=170098,35.96403596403597,19.0
3,10.01,1.6,Jeff DEMPS,30.0,USA,2qf1,"Eugene, OR (USA)",2008-06-28,1203,https://www.worldathletics.org/athletes/athlete=228425,35.96403596403597,18.0
3,10.01,0.9,Yoshihide KIRYU,24.0,JPN,1h3,Hiroshima (JPN),2013-04-28,1203,https://www.worldathletics.org/athletes/athlete=268525,35.96403596403597,17.0
6,10.03,0.7,Marcus ROWLAND,30.0,USA,1,Port-of-Spain (TTO),2009-07-31,1196,https://www.worldathletics.org/athletes/athlete=241049,35.89232303090728,20.0
6,10.03,1.7,Lalu Muhammad ZOHRI,20.0,INA,3,"Nagai Stadium, Osaka (JPN)",2019-05-19,1196,https://www.worldathletics.org/athletes/athlete=373792,35.89232303090728,19.0
8,10.04,1.7,D'Angelo CHERRY,29.0,USA,1h4,"Fayetteville, AR (USA)",2009-06-10,1193,https://www.worldathletics.org/athletes/athlete=236710,35.85657370517929,18.0
8,10.04,0.2,Christophe LEMAITRE,30.0,FRA,1,Novi Sad (SRB),2009-07-24,1193,https://www.worldathletics.org/athletes/athlete=235477,35.85657370517929,20.0
8,10.04,1.9,Abdullah Abkar MOHAMMED,23.0,KSA,1f3,"Walnut, CA (USA)",2016-04-15,1193,https://www.worldathletics.org/athletes/athlete=308565,35.85657370517929,19.0
11,10.05,1.0,Davidson EZINWA,48.0,NGR,1,Bauchi (NGR),1990-01-03,1189,https://www.worldathletics.org/athletes/athlete=823,35.82089552238806,18.0
11,10.05,0.1,Adam GEMILI,26.0,GBR,1,"Estadio Olímpico, Barcelona (ESP)",2012-07-11,1189,https://www.worldathletics.org/athletes/athlete=264581,35.82089552238806,18.0
11,10.05,0.6,Abdul Hakim SANI BROWN,21.0,JPN,1,Osaka (JPN),2017-06-24,1189,https://www.worldathletics.org/athletes/athlete=296208,35.82089552238806,18.0
14,10.06,0.0,Sunday EMMANUEL,41.0,NGR,2,Enugu (NGR),1997-04-26,1186,https://www.worldathletics.org/athletes/athlete=137046,35.785288270377734,18.0
14,10.06,2.0,Dwain CHAMBERS,42.0,GBR,1,Ljubljana (SLO),1997-07-25,1186,https://www.worldathletics.org/athletes/athlete=50331,35.785288270377734,20.0
14,10.06,1.5,Walter DIX,34.0,USA,1h,"New York, NY (USA)",2005-05-27,1186,https://www.worldathletics.org/athletes/athlete=195974,35.785288270377734,19.0
14,10.06,0.8,Phatutshedzo MASWANGANYI,19.0,RSA,1sf1,"Bestmed Tuks Stadium, Pretoria (RSA)",2020-03-14,1186,https://www.worldathletics.org/athletes/athlete=361464,35.785288270377734,19.0
18,10.07,2.0,Stanley FLOYD,59.0,USA,1,"Austin, TX (USA)",1980-05-24,1182,https://www.worldathletics.org/athletes/athlete=873,35.749751737835155,19.0
18,10.07,1.1,DaBryan BLANTON,36.0,USA,1h2,"Lincoln, NE (USA)",2003-05-30,1182,https://www.worldathletics.org/athletes/athlete=183148,35.749751737835155,19.0
18,10.07,0.2,Tamunosiki ATORUDIBO,35.0,NGR,1sf2,Abuja (NGR),2004-07-08,1182,https://www.worldathletics.org/athletes/athlete=183896,35.749751737835155,19.0
